Question,Answer,Furigana,Meaning,Example,Translation
"感じる","かんじる","かん","to feel, to sense","私はときどき悲しく感じる。","I feel sad every now and then."
"潮風","しおかぜ","しお.かぜ","sea breeze, salty wind","",""
"乗船","じょうせん","じょう.せん","embarking (a ship), embarkation","２人の女性が乗船していた。","There were two women on board."
"本日","ほんじつ","ほん.じつ","today, this day","あいにくですが本日は予約でいっぱいです。","I'm sorry, today is fully booked."
"船員","せんいん","せん.いん","sailor, seaman","レインジャー隊は船員の救助に向かうことを決めた。","The rangers decided to go to the sailor's rescue."
"客船","きゃくせん","きゃく.せん","passenger boat","豪華客船が港に入った。","A luxury liner arrived in the harbor."
"熱風","ねっぷう","ねっ.ぷう","hot wind","電車が近づくと、トンネルから一陣の熱風が吹きつけた。","There was a gust of hot wind from the tunnel as the train approached."
"結構","けっこう","けっ.こう","splendid, nice","好奇心がお旺盛なのは大変に結構なことである。","A healthy curiosity is truly a fine thing."
"寝る","ねる","ね","to sleep (lying down), to go to bed","赤ん坊は１日中寝ていた。","The baby was sleeping all day long."
"信じ込ます","しんじこます","しん..こ","to lead to believe","",""
"得意","とくい","とく.い","satisfaction, pride","彼は彼の洞察力を得意に思っている。","He congratulates himself on his foresight."
"大切","たいせつ","たい.せつ","important, significant","柔道では力より技のほうが大切である。","In judo, technique is more important than strength."
"乱れる","みだれる","みだ","to be disordered, to be disarranged","ダイヤが乱れていた。","The timetable was disrupted."
"工事","こうじ","こう.じ","construction work","その工事は住民からの強い反対にもかかわらず、続けられた。","They carried on with the construction in the face of strong opposition from the residents."
"最近","さいきん","さい.きん","recently, lately","最近、彼のうわさを耳にしていない。","We haven't heard of him lately."
"消す","けす","け","to erase, to rub out","寝る前に電気を消してください。","Turn off the light before you go to bed."
"落ち込む","おちこむ","お..こ","to feel down, to feel sad","ちょっとしたことで直ぐに落ち込んでしまいます。","I get depressed by the slightest things."
"運","うん","うん","fortune, luck","遅かれ早かれ、彼の運は尽きるだろう。","Sooner or later, his luck will run out."
"靴","くつ","くつ","shoe, shoes","くつは革でつくられている。","The shoes are made of leather."
"洋袴","ズボン","ズボン","trousers, pants","あなたは私のズボンをどうしたのですか。","What did you do with my pants?"
"上着","うわぎ","うわ.ぎ","coat, jacket","男性の方は上着を着用してください。","Jackets are requested for men."
"夜","よる","よる","night, evening","あなたは夜よく寝れませんか。","Don't you sleep well at night?"
"昔","むかし","むかし","the old days, the past","ここは昔、畑だった。","This place used to be a field."
"泳ぐ","およぐ","およ","to swim, to struggle through (a crowd)","この湖で泳ぐのは危険だと思うんだ。","I think it is dangerous to swim in the lake."
"水掻き","みずかき","みず.か","web (between fingers or toes), paddle","",""
"後ろ足","うしろあし","うし..あし","hind leg, hind foot","後ろ足で砂をかけるようなことをした。","He raised his heel against me."
"筈","はず","はず","should (be), bound (to be)","その飛行機は今ごろは関西空港に当然着いているはずだ。","The plane should have arrived at Kansai Airport by now."
"正々堂々","せいせいどうどう","せい.せい.どう.どう","fair and square, open and aboveboard","ウィルソンさんは彼が正々堂々とやってくれることを望む。","Mr Wilson likes him to play square."
"特定","とくてい","とく.てい","specific, particular","別に特定の人をさして言っているのではない。","I am not alluding to any person in particular."
"ゾロ目","ゾロめ",".め","matching dice, doublets","",""
"鈴","すず","すず","bell (often globular)","だれがその猫に鈴をつけられるか。","Who can put a bell on the cat?"
"鬼","おに","おに","ogre, demon","",""
"和尚","おしょう","お.しょう","priestly teacher, preceptor","衣ばかりで和尚はできぬ。","The robes do not make the monk."
"汗","あせ","あせ","sweat, perspiration","額の汗をふきなさい。","Wipe the sweat from your brow."
"居られる","いられる","い","can be, can exist","その事故で両親を亡くした少女に同情せずにはいられなかった。","I couldn't but sympathize with the girl who had lost her parents in the accident."
"化け猫","ばけねこ","ば..ねこ","monster cat, cat with magical powers","",""
"輝く","かがやく","かがや","to shine, to sparkle","空には太陽が輝いています。","The sun is shining in the sky."
"華やか","はなやか","はな","bright and beautiful, gorgeous","ショービジネスというのは本当に華やかだ。","Show business is really glamorous."
"王女","おうじょ","おう.じょ","princess","王女があくどい化粧をしていた。","The princess was wearing too much makeup."
"宝石","ほうせき","ほう.せき","gem, jewel","彼は鍵をかけて宝石を金庫にしまいこんだ。","He locked up his jewels in the safe."
"野暮","やぼ","や.ぼ","boorish, unsophisticated","・・・言いたいことは色々あるのだが、ここで口を挟むのは野暮というもの。","There are things I'd like to say but to butt in now would be what they call uncouth."
"決まり","きまり","き","rule, regulation","毎日のきまり仕事にはつくづく飽きた。","I am quite tired of daily routine."
"愛しい","いとしい","いと","lovely, dear","少女は人形をいとしげに抱き締めた。","The girl squeezed her doll affectionately."
"成り切る","なりきる","な..き","to turn completely into, to become completely","卒業して久しぶりに彼女に会ったが彼女は全く主婦になりきっていた。","I met her a long time after graduation, and she had totally become a housewife."
"美しい","うつくしい","うつく","beautiful, pretty","あなたは美しい蝶々です。","You are a beautiful butterfly."
"抱き締める","だきしめる","だ..し","to hug (someone) tight, to embrace","その女性は赤ちゃんを抱きしめた。","The woman pressed the baby to her."
"堪らん","たまらん","たま","intolerable, unbearable","",""
"煩い","うるさい","うるさ","noisy, loud","隣の部屋がうるさいのです。","It's noisy next door."
"越える","こえる","こ","to cross over, to cross","地球人の一人として、私は文化の壁を越える方法を知っています。","As a citizen of the world, I know ways of overcoming cultural barriers."
"会長","かいちょう","かい.ちょう","president (of a society), chairman","協会は彼を会長にした。","The society made him president."
"地主","じぬし","じ.ぬし","landowner, landlord","その地主は以前かなり裕福な暮らしをしていた。","The landlord used to be quite well off."
"鳴らす","ならす","な","to ring, to sound","火事の時はベルを鳴らせよ。","In case of fire, ring the bell."
"地面","じめん","じ.めん","ground, earth's surface","１枚の枯れ葉が地面に落ちた。","A dead leaf fell to the ground."
"唸る","うなる","うな","to groan, to moan","なにやら唸りながら、ほとばしるパッションをキャンバスにぶつけている！","Groaning strangely she is hurling her overflowing passion onto the canvas!"
"初心者","しょしんしゃ","しょ.しん.しゃ","beginner","このテキストは初心者向きにできている。","This text is aimed at beginners."
"寄る","よる","よ","to approach, to draw near","ちょっと寄って行きませんか。","Won't you come in for a moment?"
"岩石","がんせき","がん.せき","rock","岩石や鉱物はいろいろな面で私たちに有益である。","Rocks and minerals are useful for us in many ways."
"区々","まちまち","まちまち","various, diverse","その件について彼らの意見はまちまちだ。","Their views vary on the subject."
"引っ込める","ひっこめる","ひ..こ","to draw in, to take in","彼はテーブルから手を引っ込めた。","He withdrew his hand from the table."
"手足","てあし","て.あし","hands and feet, limbs","手足がむくんでいます。","My hands and legs are swollen."
"噴射","ふんしゃ","ふん.しゃ","jet, spray","超高圧水の噴射により、ほとんどの詰まりが排除される。","By means of a super high-pressure water spray practically all the sediment is removed."
"水面","すいめん","すい.めん","water's surface","魚が水面から飛び上がった。","A fish leaped out of the water."
"厄介","やっかい","やっ.かい","trouble, burden","そんなことをするとやっかいなことを招くことになる。","To do so is asking for trouble."
"引き取る","ひきとる","ひ..と","to take into one's possession, to receive","私は苦情を言ったが、店ではこのセーターを引き取るのを拒んだ。","I complained, but they refused to take this sweater back."
"銭亀","ぜにがめ","ぜに.がめ","baby spotted turtle, immature Japanese pond turtle","",""
"悪戯","いたずら","いたずら","mischief, prank","少年たちは時々先生にいたずらしたものだった。","Sometimes the boys would play a trick on their teacher."
"付き合う","つきあう","つ..あ","to associate with, to keep company with","佐知子さんと付き合っているの？","Are you going out with Sachiko?"
"喧嘩を売る","けんかをうる","けん.か..う","to pick a fight, to pick a quarrel","",""
"花弁","はなびら","はな.びら","petal","薔薇の花びらはとても繊細だ。","A rose's petals are very delicate."
"変換","へんかん","へん.かん","change, conversion","このファイルをウインドウズ９５対応のファイルに変換して再送してくれますか。","Could you convert this file into a Windows 95 compatible file and re-send it?"
"吸収","きゅうしゅう","きゅう.しゅう","absorption, suction","この布は水をよく吸収する。","This cloth absorbs water well."
"太陽","たいよう","たい.よう","Sun","マリーゴールドは太陽とともに起きる。","The marigold rises with the sun."
"紳士","しんし","しん.し","gentleman","彼が紳士だなんてとんでもない。","He is anything but a gentleman."
"何奴","どいつ","どいつ","who, what kind of person","",""
"情け無い","なさけない","なさ..な","miserable, pitiable","ってゆーか、こうやってぐじぐじ考えるのが情けないんじゃないのか？","Or rather, is it not just pathetic that I think such whiny thoughts like this?"
"吸い取る","すいとる","す..と","to suck up, to absorb","この吸い取り紙はインクをよく吸い取る。","This blotting paper absorbs ink well."
"迫る","せまる","せま","to approach, to draw near","時間が刻々と迫っている。","Time is pressing every moment."
"火の粉","ひのこ","ひ..こ","sparks","",""
"睨み付ける","にらみつける","にら..つ","to glare at, to scowl at","彼女は眼を怒らせて私をにらみ付けた。","She glared at me with angry eyes."
"火炎放射器","かえんほうしゃき","か.えん.ほう.しゃ.き","flamethrower","",""
"薄暗い","うすぐらい","うす.ぐら","dim, gloomy","薄暗い光の中で彼の顔を見た。","I saw his face in the dim light."
"肩","かた","かた","shoulder","肩が痛い。","I have a pain in the shoulder."
"髪","かみ","かみ","hair (on the head), (a) hair","その洋服は彼女の赤い髪に合う。","That dress matches her red hair."
"引っ掛かる","ひっかかる","ひ..か","to be caught in, to be stuck in","凧が木に引っかかった。","The kite got caught in the tree."
"凝乎と","じっと","じっ","motionlessly (e.g. stand, wait), (be) still","こうした熊独特の特徴が、熊が動かずに狩猟すること（アザラシの呼吸孔の脇でじっと動かず、アザラシが海面に上がってくるのを待つ）を好む説明になっている。","These special characteristics explain its preference for still-hunting (lying motionless beside a seal's breathing hole, waiting for one to surface)."
"通路","つうろ","つう.ろ","passage, pathway","これが海への通路だ。","This is the passage to the sea."
"地下","ちか","ち.か","underground, below the ground","そして汚水を流すために地下に下水道を持っていた。","The house has pipes under the ground to carry dirty water away."
"鳥","とり","とり","bird, bird meat (esp. chicken meat)","彼は森の中を歩いた。頭上では鳥が楽しくさえずっていた。","He walked in the forest, with birds singing cheerfully above his head."
"持ち主","もちぬし","も..ぬし","owner, proprietor","この家の持ち主は誰ですか。","Who is the owner of this house?"
"有り余る","ありあまる","あ..あま","to be superfluous, to be in excess","ありあまるほどの時間がある。","I have more than enough time."
"余る","あまる","あま","to remain, to be left over","日本では米が、ヨーロッパではワインが余っている。","Japan has a surplus of rice, Europe of wine."
"子犬","こいぬ","こ.いぬ","puppy, small dog","子供の頃、小犬を飼っていた。","I had a puppy when I was a boy."
"吠える","ほえる","ほ","to bark, to howl","犬が郵便屋さんに吠えた。","The dog barked at the mailman."
"激しい","はげしい","はげ","violent, furious","その２チームは激しく戦った。","The two teams fought very hard."
"に対して","にたいして",".たい","towards, against","私のおいは卵に対してアレルギー体質だ。","My nephew is allergic to eggs."
"人懐っこい","ひとなつっこい","ひと.なつ","friendly, affable","ケンは人懐っこい人であるようだ。","Ken appears a friendly person."
"風船","ふうせん","ふう.せん","balloon (toy or decoration), balloon (hot-air or gas)","風船が空に上がっていった。","The balloon went up in the sky."
"眠る","ねむる","ねむ","to sleep, to die","もし眠るといけないので目覚し時計をセットしなさい。","In case you sleep, set the alarm."
"歌","うた","うた","song, singing","この歌を聞くと私はいつも、学生時代を思い出す。","Whenever I hear this song, I am reminded of my school days."
"心地良い","ここちよい","ここ.ち.よ","comfortable, pleasant","花は大変心地良い香りを発する。","The flowers give off a very pleasant scent."
"円ら","つぶら","つぶ","round and cute (esp. of eyes)","",""
"退散","たいさん","たい.さん","dispersal, breaking up","彼女は大声で叫んで襲ってきた奴を退散させた。","She managed to scare off her attacker by screaming loudly."
"見逃す","みのがす","み.のが","to miss, to overlook","これは絶対見逃せないよ。","It's just too good to pass up."
"通りすがり","とおりすがり","とお","passing by","彼は通りすがりにお辞儀をした。","He bowed to me as he passed by."
"庭","にわ","にわ","garden, yard","私たちの庭には２本の桜の木があります。","Our garden has two cherry trees."
"悪巧み","わるだくみ","わる.だく","wiles, sinister design","彼は絶対にその謀議に加担していなかった。反政府の悪だくみがあったのは、彼ではなくて、その兄だった。","He has had absolutely no part in the conspiracy; it was not he, but his brother, who had an axe to grind against the government."
"盗む","ぬすむ","ぬす","to steal, to plagiarize","何冊かの本が盗まれた。","A number of books were stolen."
"見張る","みはる","み.は","to stand watch, to stand guard","ビキニスタイルの美少女は浜辺では目を見張らすものだった。","The pretty girl in the bikini was an eye-opener on the beach."
"機能","きのう","き.のう","function, facility","こんな余計な機能なんでつけたんだろう。","What did they add this needless function for?"
"分離","ぶんり","ぶん.り","separation, partition","マヨネーズの油は分離することがある。","The oil in mayonnaise sometimes separates from the other ingredients."
"転送","てんそう","てん.そう","transfer (of a call, patient, etc.), forwarding (a letter, email, etc.)","データは、メインコンピューターから自分のものに転送できるし、またその逆もできる。","Data can be transmitted from the main computer to yours, and vice versa."
"食っ付く","くっつく","く..つ","to adhere to, to stick to","ぬれた衣装が彼女の体にくっついていた。","Wet clothes clung to her body."
"失敗","しっぱい","しっ.ぱい","failure, mistake","１度や２度の失敗はだれにでもある。","Everybody fails once or twice."
"実験","じっけん","じっ.けん","experiment, experimentation","実験は成功だった。","The experiment was successful."
"信用","しんよう","しん.よう","confidence, trust","私はもう彼を信用しない。","I do not trust him any longer."
"同じ","おなじ","おな","same, identical","ジャズが使う音符は、バッハが使ったのと同じだ","Jazz uses the same notes that Bach used."
"地球","ちきゅう","ち.きゅう","Earth, the globe","汚染が地球を傷つけている。","Pollution is damaging our earth."
"久々","ひさびさ","ひさ.びさ","(in a) long time, long time (ago)","久々に聞いたこの曲。なつかしい。","Hearing this song after so long really brings back the old times."
"孤高","ここう","こ.こう","aloof, proudly independent","ニューヨークはただ規模の点で長いこと孤高を保ってきた。","New York City has long been unusual because of its sheer size."
"電磁波","でんじは","でん.じ.は","electromagnetic wave","一日中コンピューターに向かってるから、結構電磁波浴びてる。","I sit in front of a computer screen all day, so I get pretty heavily bombarded by electro-magnetic waves."
"岬","みさき","みさき","cape (on coast), small peninsula","その船は岬を回った。","The ship sailed around the cape."
"港","みなと","みなと","harbour, harbor","その船はいま港にある。","The ship is now in the harbor."
"予感","よかん","よ.かん","presentiment, premonition","吹き荒れる嵐の予感に、僕らはこぞって震えあがった。","At this hint of the violent storm to come we shuddered as one."
"近所","きんじょ","きん.じょ","neighbourhood, neighborhood","彼が近所に越してきた。","He moved into my neighborhood."
"下り","くだり","くだ","down-train, train heading toward the ending point of its route","ここの下りも手掛かりがないので危険だ。","The downclimb here is also dangerous as there are no handholds."
"尻尾","しっぽ","しっぽ","tail (of an animal), tail end","その犬はしっぽを振っていた。","The dog was wagging his tail."
"可哀想","かわいそう","か.わい.そう","poor, pitiable","私は何匹かのかわいそうな猫が追い出されるのを見た。","I saw some poor cats kicked out."
"下手","へた","へた","unskillful, poor","彼はイギリス生まれだが、英語がとても下手である。","He comes from England, but is very poor at English."
"勿体無い","もったいない","もっ.たい.な","wasteful, a waste","とてもいい天気だから家の中にいるのがもったいない。","It's too sunny to stay inside."
"無理矢理","むりやり","む.り.や.り","forcibly, by force","彼は無理やり残業させられた。","He was forced to work overtime."
"謎","なぞ","なぞ","riddle, puzzle","このなぞの答えを考えつきますか。","Can you guess this riddle?"
"御目出度う","おめでとう","お.め.で.と","congratulations!, well done!","誕生日おめでとうございます。","Many happy returns of the day!"
"お見事","おみごと",".み.ごと","well done!, bravo","「お見事、よくやった」と小川選手を褒め称える報道が多かった。","There were many journalists who praised Ogawa with, 'bravo, good show!'"
"信じる","しんじる","しん","to believe, to believe in","きっと彼はあなたを信じると思いますよ。","I am sure of his trusting you."
"本番","ほんばん","ほん.ばん","performance (as opposed to practice), going before an audience or on-air","咳止めシロップ。本番前に一口飲まないと落ち着かない！","Cough syrup. If I don't drink a mouthful before going on stage I can't settle down!"
"尽くす","つくす","つ","to use up, to exhaust","トロール漁船は沿岸の魚をとりつくしました。","Fishing trawlers have fished out all the local waters."
"悔い","くい","く","regret, repentance","我が生涯に一片の悔いなし。","I regret nothing of my life."
"豪華","ごうか","ごう.か","extravagant, lavish","何と豪華な家々でしょう。","What splendid houses they are!"
"勝ち抜く","かちぬく","か..ぬ","to win through (e.g. to the next round), to win game after game","勝ち抜いていけるよう幸運を祈るよ。","Best of luck in your tournament."
"橋","はし","はし","bridge, pons","あの橋は大変美しい。","That bridge is very beautiful."
"言葉","ことば","こと.ば","language, dialect","「言葉の一面は、伝達しようとする意志である」と彼は言う。","'One aspect of language is an intent to communicate,' he says."
"取り乱す","とりみだす","と..みだ","to be upset, to lose one's composure","ボブは酷く取り乱していて、現実と虚構の区別がほとんど出来なかった。","Bob was so beside himself that he could scarcely tell fact from fiction."
"落ち着く","おちつく","お..つ","to calm down, to compose oneself","彼は当惑して落ち着きませんでした。","He felt lost and uncomfortable."
"急所","きゅうしょ","きゅう.しょ","vital part (of the body), tender spot","急所を除くすべての攻撃を認める。","I'm allowing all attacks except on vital organs."
"物理","ぶつり","ぶつ.り","laws of nature, physical laws","物理は私の好きな科目だ。","Physics is my favorite subject."
"築く","きずく","きず","to build, to construct","彼は貿易で財産を築いた。","He made his fortune from commerce."
"関係","かんけい","かん.けい","relation, relationship","これとあれはどういう関係があるの。","How is this connected to that?"
"浴びる","あびる","あ","to dash over oneself (e.g. water), to take (e.g. shower)","屋根は日を浴びて輝いている。","The roof is shining in the sun."
"刺激","しげき","し.げき","stimulus, stimulation","光が刺激となって花が咲く。","Light is the stimulus that causes a flower to open."
"編み出す","あみだす","あ..だ","to think up, to think out","彼は新しい方式を編み出した。","He worked out a new formula."
"熱湯","ねっとう","ねっ.とう","boiling water, hot bath","ポットに熱湯をいっぱい入れてください。","Please fill the teapot with boiling water."
"大人しく","おとなしく","おとな","meekly, obediently","",""
"仕様がない","しょうがない","しょう","there's no (other) way, cannot be helped","彼の発言は他に解釈のしようがない。","His remarks allow of no other interpretation."
"雷","かみなり","かみなり","lightning, thunder","子供達は雷におびえた。","The thunder scared the children."
"美少女","びしょうじょ","び.しょう.じょ","beautiful girl","ビキニスタイルの美少女は浜辺では目を見張らすものだった。","The pretty girl in the bikini was an eye-opener on the beach."
"攻める","せめる","せ","to attack, to assault","彼は私にその問題をいかに攻めるべきかについて教えてくれた。","He enlightened me on how I should attack the subject."
"金メダル","きんメダル","きん","gold medal","カールは金メダルを見せてくれた。","Carl showed me the gold medal."
"塩っぱい","しょっぱい","しょ","salty, calculating","このスープは、しょっぱ過ぎて飲めないよ。","This soup is too salty to eat."
"悔し涙","くやしなみだ","くや..なみだ","tears of regret, bitter tears","",""
"滴る","したたる","したた","to drip, to drop","",""
"飛び込み","とびこみ","と..こ","jump, plunge","",""
"混乱","こんらん","こん.らん","disorder, chaos","国会は混乱のうちに散会した。","The Diet broke up in confusion."
"骨抜き","ほねぬき","ほね.ぬ","boning (fish or meat), deboning","彼の提案は骨抜きになった。","His proposal has been watered down."
"一気に","いっきに","いっ.き","in one go, in one gulp","彼は一気に１０時間働いた。","He worked ten hours at a stretch."
"お店","おみせ",".みせ","store, shop","角を曲がった所にそのお店はありますよ。","You'll find the shop around the corner."
"光る","ひかる","ひか","to shine, to glitter","上部前方で何かが光っている。","Something is flashing up ahead."
"銀色","ぎんいろ","ぎん.いろ","silver (color, colour)","女王は華麗な銀色のドレスを着ていた。","The queen was wearing a magnificent silver dress."
"古代","こだい","こ.だい","ancient times, distant past","古代インカの時代に、アメリカ大陸でもっとも大きい都市であった。","In the days of the ancient Incas, it was the largest city in America."
"大昔","おおむかし","おお.むかし","ancient times, prehistoric times","人間は大昔に道具の使用を覚えた。","Man learned early to use tools."
"御金","おかね","お.かね","money","どうやってそのお金を手に入れたんですか。","How did you come by the money?"
"吹き出す","ふきだす","ふ..だ","to spout out, to spurt out","管から水が吹き出した。","Water shot from the pipe."
"噴水","ふんすい","ふん.すい","water fountain","駅の前に噴水があります。","There is a fountain in front of the station."
"念力","ねんりき","ねん.りき","willpower, faith","",""
"悩む","なやむ","なや","to be worried, to be troubled","悩んでも何の利益にもならない。","There is no profit in worrying."
"頭痛","ずつう","ず.つう","headache","今日は少し頭痛がする。","I have a slight headache today."
"直す","なおす","なお","to repair, to mend","いまそれを直そうったって無駄だ。","It's no use trying to fix it now."
"係","かかり","かかり","charge, duty","今、誰か係りの者を差し向けます。","I'll send someone up to help you now."
"狡い","ずるい","ずる","sly, cunning","狐は他のどんな動物よりもずるいということだ。","It is said that the fox is more cunning than any other animal."
"追い抜く","おいぬく","お..ぬ","to pass (a car), to overtake","",""
"向き","むき","む","direction, orientation","これは若者向きの車です。","This is a car for young people."
"貝","かい","かい","shellfish, seashell","私が手にしてるのは貝の化石です。","What I have in my hand is a fossil seashell."
"甲羅","こうら","こう.ら","shell (of a crab, tortoise, etc.), carapace","",""
"独り占め","ひとりじめ","ひと..じ","hogging, having all to oneself","彼はこの広い部屋を独り占めしている。","He has this large room to himself."
"此の辺り","このあたり","こ..あた","this area, around here","私はこのあたりで少し買い物をしたい。","I want to do some shopping around here."
"頭に来る","あたまにくる","あたま..く","to get angry, to get mad","これは頭にくる。","This is making me really angry."
"首を突っ込む","くびをつっこむ","くび..つ..こ","to poke one's nose into another's affairs, to have a hand in","彼女は何にでも首を突っ込みたがる。","She is curious about anything."
"大人","おとな","おとな","adult, grown-up","大人だけこの映画が見える。","Only adults can see this film."
"黒い","くろい","くろ","black, dark","丈の長い黒いコートを着た、あの長身の男だった。","It was the tall man in the long, black coat."
"偶数","ぐうすう","ぐう.すう","even number","２、４、６などは偶数です。","Two, four, six, etc. are even numbers."
"備え","そなえ","そな","preparation, provision","このお金は、もしものときの備えです。","This money is for a rainy day."
"探検","たんけん","たん.けん","exploration, expedition","この探検には、お金がかかる。","This expedition will be expensive."
"住処","すみか","すみ.か","dwelling, house","残飯の屑は害虫の住処になる。","Garbage harbors vermin."
"餌","えさ","えさ","(animal) feed, fodder","犬に毎日えさをあげてください。","Please feed the dog every day."
"掘り進む","ほりすすむ","ほ..すす","to burrow through, to dig through","",""
"物凄い","ものすごい","もの.すご","terrific, staggering","彼女はものすごい食欲がある。","She has a gigantic appetite."
"地中","ちちゅう","ち.ちゅう","in the ground, in the earth","海賊は宝を地中に埋めた。","The pirates buried their treasure in the ground."
"分け与える","わけあたえる","わ..あた","to distribute, to hand out","私はめいめいの子供にキャンディーを３つずつ分け与えた。","I dealt out three candies to each child."
"卵","たまご","たまご","eggs, egg","卵を一ダースづつつめなさい。","Pack eggs in dozens."
"満点","まんてん","まん.てん","perfect score, full marks","彼は数学で満点を取った。","He got full marks in mathematics."
"見掛ける","みかける","み.か","to (happen to) see, to notice","私は安室奈美恵を見かけた。","I caught sight of Namie Amuro."
"妖精","ようせい","よう.せい","fairy, sprite","彼女の足取りは妖精のように軽やかだった。","Her footsteps were as light as a fairy's."
"滅多に","めったに","めっ.た","rarely, seldom","今、私はめったに映画を見に行きません。","Now I seldom go to the movies."
"叩き付ける","たたきつける","たた..つ","to throw violently against, to slam against","彼は茶碗を床にたたきつけた。","He dashed the cup on the floor."
"玉","たま","たま","ball, sphere","彼の額には玉のような汗が浮かんでいた。","There were beads of sweat on his forehead."
"突進","とっしん","とっ.しん","rush, dash","彼らは母親めがけて突進した。","They rushed towards their mother."
"追い付く","おいつく","お..つ","to catch up (with), to draw level","トムに追いつくために走らなければならなかった。","I had to run to catch up with Tom."
"出口","でぐち","で.ぐち","exit, way out","B2出口から地上に出てください。","Go up to ground level at exit B2."
"星","ほし","ほし","star (usu. excluding the Sun), planet (usu. excluding Earth)","昨夜、屋上から星を観察した。","Last night, we watched the stars from the rooftop."
"往復","おうふく","おう.ふく","making a round trip, going and returning","往復ですか、片道ですか。","Round trip or one-way?"
"黙る","だまる","だま","to be silent, to say nothing","もうこれ以上、黙ってられないわ。","I can no longer remain silent."
"眠気覚まし","ねむけざまし","ねむ.け.ざ","keeping oneself awake, fighting off drowsiness","私は眠気覚ましに紅茶を飲んだ。","I had a cup of tea to keep myself awake."
"急に","きゅうに","きゅう","swiftly, rapidly","気苦労で彼は急にふけた。","Care aged him quickly."
"抜ける","ぬける","ぬ","to come out, to fall out","歯が１本抜けた。","One of my teeth came out."
"意外","いがい","い.がい","unexpected, surprising","意外な結果が発表された。","Unexpected results were announced."
"逸れる","それる","そ","to turn away, to bear off","本題からそれないようにしましょう。","Let's not deviate from the subject."
"数","かず","かず","number, amount","算数は数を取り扱う。","Arithmetic deals with numbers."
"人気","にんき","にん.き","popularity, public favor","人気がでて彼女はうぬぼれた。","The popularity turned her head."
"愛くるしい","あいくるしい","あい","lovely, cute","彼女の愛くるしい笑顔を見るとほっとする。","Seeing her lovely face relaxes me."
"仕草","しぐさ","し.ぐさ","gesture, movement","そのしぐさで観客は笑い出した。","The gesture fetched a laugh from the audience."
"姿","すがた","すがた","figure, form","自分の姿を鏡にうつして見なさい。","Look at yourself in the mirror."
"蝶々","ちょうちょう","ちょう.ちょう","butterfly","あなたは美しい蝶々です。","You are a beautiful butterfly."
"怪しい","あやしい","あや","suspicious, dubious","みんな奴は怪しいと思っている。","We are all suspicious about him."
"茸","きのこ","きのこ","mushroom","木の下にいくつかの野生のキノコを見つけた。","I found some wild mushrooms under the log."
"根っ子","ねっこ","ね..こ","root (of a plant), stump (of a tree)","",""
"掘る","ほる","ほ","to dig, to excavate","彼らは穴をあけて石油を掘り当てようとした。","They intended to drill for oil."
"蕾","つぼみ","つぼみ","(flower) bud, promising young person","バラのつぼみは摘めるうちに摘め。","Gather ye rosebuds while ye may."
"摂る","とる","と","to have (e.g. lunch), to take (e.g. vitamins)","軽い昼食をとりました。","I had a light lunch."
"養分","ようぶん","よう.ぶん","nutrient, nourishment","",""
"怒り出す","おこりだす","おこ..だ","to fly into a rage, to lose one's temper","そうやってしつこく彼女を困らせると、彼女も怒り出すぞ。","If you persist in bothering her like that, she'll lose her temper."
"踏み付ける","ふみつける","ふ..つ","to trample down, to tread on","芝生を踏みつけるな。","Don't trample on the grass."
"生息","せいそく","せい.そく","inhabiting, living","シーラカンスは深海に生息する。","The coelacanth inhabits the deep sea."
"山道","やまみち","やま.みち","mountain road, mountain trail","この山道を登ると美しい湖に出る。","This mountain path ascends to the beautiful lake."
"内側","うちがわ","うち.がわ","inside, interior","ドアは内側から鍵がかかっていた。","The door was locked from within."
"金儲け","かねもうけ","かね.もう","moneymaking, earning money","金儲けをするためには、彼はどんなことでもする。","He will do anything to make money."
"突き止める","つきとめる","つ..と","to determine (esp. a culprit or underlying cause), to pin down","ホームページに住所を書いたら、その気になれば誰でもあなたの居所を突き止められる。","If you write your address on a web-page, anybody can find out where you live if the whim takes them."
"盗み聞き","ぬすみぎき","ぬす..ぎ","eavesdropping, tapping","",""
"紐","ひも","ひも","string, cord","何かを記録するために、彼らはラマかアルパカの毛糸でできた、結び目のついたひもを使った。","To record something, they used knotted cords made of the wool of the llama or alpaca."
"転ぶ","ころぶ","ころ","to fall down, to fall over","転んで手首を痛めました。","I fell down and hurt my wrist."
"躓く","つまずく","つまず","to trip (over), to stumble","私は石につまずいて、足首をひねってしまった。","I tripped on a stone, twisting my ankle."
"散らばる","ちらばる","ち","to be scattered about, to disperse","その銀行の支店は日本全国に散らばっている。","The branch offices of the bank are located all over Japan."
"鍛える","きたえる","きた","to forge, to temper","彼は鋼を鍛えて刀を作った。","He forged the steel into a sword."
"御馴染み","おなじみ","お.な.じ","familiar, well-known","その物語はおなじみである。","The tale is familiar to us."
"毎度","まいど","まい.ど","each time, always","毎度ごひいきにありがとうございます。","Thank you for your patronage."
"挑発","ちょうはつ","ちょう.はつ","provocation, stirring up","このような障害が完全に取り除かれるまで、極めてささいな、ちょう発でさえ争いが起こる可能性がいつもある。","Until such difficulties are ironed out completely, there is always a chance of fighting breaking out at the slightest provocation."
"連続","れんぞく","れん.ぞく","continuation, succession","賢人いわく、人生は失望の連続である。","Some wise man has said life consists of one disappointment after another."
